Dori_i13,@BTS_twt 헝ㅠㅠㅠㅠ태형아ㅏㅏㅠㅠㅠㅠ죤잘ㅠㅠㅠ
Ageis1004,@BTS_twt 태형아아아ㅜㅜㅠㅜㅜㅜㅠㅠ😇
triyuniwlandari,사랑해 @BTS_twt https://t.co/tfCLqqZzzh
ovCLkbTo86tG0b0,"@BTS_twt @RecordingAcad 오히려 저희를 사랑 해주시고 응원 해주셔서 감사합니다. 감사합니다, 방탄 소년단🌹😘❤💜
💜❤사랑해 방탄 소년단❤💜"
raniiiiiiii9,@BTS_twt 엔젤이 여기 있었네... ㅇ-&lt;-&lt;
NJ_BTS_JY,@lilsucrecube 조씁미다
nabiya337,"🗳 #2020MAMA  투표

1 올해의 가수
2 올해의 노래
3 Worldwide Fan’s Choice 
4 남자 그룹상
5 베스트댄스 퍼포먼스 남자 그룹
6 베스트 컬래버레이션

☑️ https://t.co/RmmyzMrrzS
 (~12/5 23:59까지 KST)

#MAMAVOTE  #BTS @BTS_twt https://t.co/18WBQbZF8h"
heyhoo52,@BTS_twt 헉💘
nssbl_,@BTS_twt 💜나도 사랑해요 우리 탄이💜
hopeerose_,@BTS_twt 모야 모야 모야 모야 모하는거야!!!!???? 왜 우리 한테... 위험한 남자야!!!😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
sorkchlrh15,@BTS_twt 오늘너무행복했어요ㅎ사랑해요~☀️🌙❤️
themin_soo95s,@BTS_twt 💜사랑해요 아미💜 😘 https://t.co/nylmPiRsGv
KindTigerHeart,@BTS_twt 멋있다ㅏㅏ아앙아!🐯💜
BTS_V1230_Be,@BTS_twt 태향아ㅠㅠㅠ고마워 💜
aRMy912_BTS,@19921204_hyun 그니까여.. 2020년 환불점 하핫..
illegvrrl,@BTS_twt ㅇ-&lt;-&lt;
sy_090729,@BTS_LS0618 안뇽 잘장!
taeyon06120,@BTS_twt 어머..미치겠어 진짜..
BTS_7s_Mylife,@bts_mandu1230 저여!!!!
btsarmyah_twt,@BTS_twt 우와!!! 우와!!!
K_______816,@BTS_twt 인류의 기적 김태현😎❤︎
erictiddies,@BTS_twt 살려주세요 ㅠㅠㅠㅠ
BtsLotus,"@BTS_twt 태형 씨,이 약지는 아직 공짜"
BTS_06139513,@LQVE_JK13 응실어.
3ll4ckc4ndy,@BTS_twt 🥺 베스트 모델  이번년이따ㅜㅜㅜ
LoVeYoOnGi__39,@BTS_LS0618  님 나랑 짱친 ㄱㄱ인거 알죵 ? 무르기업뜸~~
134340bop,@BTS_twt 알라뷰💜💜💜💜💜💜💜💜💜💜
AgustYoongi09,@BTS_twt 안녕하세요. 아티스트 No. 1 Billboard 2 주 연속 2 위에 올랐지 만 1 위로 돌아와 그래미 후보에 올랐습니다.💜💜💜💜
JIMIM13_MOCHI,"지민이 진챠  기엽지☺
#박지민_기여워
@BTS_twt https://t.co/IX6j8pYbVH"
ZVwtpNNp1D3EiJo,@BTS_twt 역시세계1등미남💜
uodogi0401,"@TokyoBTS_jin @bts_vote9297 @BTS_twt 🙏
빙고👏👏👏
덕질만이 아이를 자유롭게 할수있어요
시선을 돌려야 해요 
잘하고 있구나 격려만 😅
아자아자!!"
si_yeon_0302,@BTS_twt 사랑해 방소단💜
araskrp_love,@BTS_twt 오늘은 태태로 가득 차서 행복합니다💜
WordsBy_Bts,"@BTS_twt 태형이가 얼마나 소중한 존재인지, 얼마나 태형이를 사랑하는지 알았으면 좋겠어요. 언제나 건강하세요."
BSS_BTS,@BTS_twt 대박
sohyeon_b,@BTS_twt Vcut....제가 정말 애정해요💜 너무예쁘게 나왔다ㅏ!!😊😆👍💜💜
shurijmjk,@BTS_twt 와
midsummer_ami,@BTS_twt V cut으로 잡지 하나 내자! ✌
2dd613,@BTS_twt k-얼굴
zloveu_k,@BTS_twt 사랑해애애애애애애애애애애애💜🤲🏻
jaykay130613,@nuninuni_bts 오 투썸케이크!!!!! 이제 케이크는 이걸로💃💃🎉
lacimolalaajim,@BTS_twt 당신이 왜 그렇게 귀여워
NJ_BTS_JY,@milinae_7 어째.. 동명사를 필기를 안해놧어...
bts_army95zz,아니 사람이 저리 잘생기다니 현실에 존재하는 거임?? https://t.co/av9UR3IrVD
WNjXhkBCpOrAmOl,@BTS_twt 미쳤다 진짜 그냥 호랑이와 곰 사이 그 자체다 완벽하다 김태형
MY_26_13,@BTS_twt 와...................숨이안쉬어진다......
bts_0613_0821,"보도스테이션 검색하고 상처받음 ㅠㅠㅠㅠ
아... 진짜 너무해 ㅠㅠ"
btsgodssenglur,@duijiu2 @ak_eo_love_BTS 쥬가 한수위엿내
BTS_080530_7,@bts0613_cherry 진심이라고 시빨;;
BTS_forever3613,와.. 역대급이다 진짜 존나 잘생겼다 https://t.co/Cumepj7uiT
baby9486a,"@uodogi0401 @BTS_twt 와  이맛난걸 못드세요?
고사미 화이팅 
잘먹고 탈나지말고  건강하자

@BTS_twt"
13_jiminieee,"아 미치겠다 ㅜㅠㅠㅜㅠ
#KimTaehyung #BTS #방탄소년단 @BTS_twt https://t.co/s8ljqW6yug"
NikoletaV16,@BTS_twt 보라해!! 💜💜
Bts_army_070613,@KK0CHI__ 언니 인기쟁이라 힘들것당😄
BTS_JIN_SODA,초면이네욤!친하게 지냅시다ㅏ
mxxxbaepjj,@BTS_twt 오!!!!!!!!!!!!! 진짜 잘생겼당!!!!!!!!!!!!!!!!!💜.💜
stellaquintetV,@BTS_twt 멋진 사진 고마워요!조금 힘이 났습니다!💕😌
madein1995_kth,@BTS_twt 이것을 기다리고 있었다 https://t.co/jKW3PdliF6
pqpoou97,"아! 아까 말했는데 벌써 사라지겠지?
다시 한번 축하해요 너무 대단하고 기특해요 
그래미까지 오는거 진짜 실감이 안나네요 짱짱!!

@BTS_twt"
ynwainwa,@BTS_twt 미쳐따미쳐따 태형이 이쁘고 멋있고 섹시한 거 다 해ㅠㅠㅠㅠㅠ
SAVEME_TAEHYUNG,@BTS_twt 너무했다 😭😭😭😭😭😭 https://t.co/NrHRVtwhS8
mang_0613_tae,@BTS_twt 사랑둥이ㅜㅜ♡
BTS_CHUBBY,"그림자 까지 잘생긴 사람의 매력은 어디까지 쭉 가는지 함보자 
ㄴ뭘봐머흘봐
 ㄴ그냥 존잘이라하면되지구지?
    ㄴ맛춤법좀
        ㄴ 님먼저^^ https://t.co/BA0FI5SMG1"
MYTAETAE____,@BTS_twt 진짜 태형아ㅠㅠㅠ 너무 잘생겼다ㅠ
BTS_06139513,@LQVE_JK13 무서운척 니니해 언니
ARMY56436002,@BTS_twt Ⅴ! 얼굴 마스크로 음료는 어떻습니까? 😂❤️
Fernandes4Licia,@BTS_twt @RecordingAcad 도와 줘 방탄 소년단. K 팝 가수가되고 싶지만 가난한 가정 출신이라 여유가 없다. 가족을 위해 뭔가하고 싶어요. 방탄 소년단이 K 팝 가수의 꿈을 이루도록 도와주세요. 9322198573 이것은 내 번호입니다. 내 번호로 저에게 연락하십시오. BTS 좀 도와주세요. 저는 13 살 소녀입니다 .🙏🙏
Dalppong_9795,@BTS_twt 기절...🤦‍♀️
Rin_glocket,@BTS_twt 진짜 멋있어ㅠㅠㅠㅠㅠ
kimddubi_,@BTS_twt 와.... 진짜 얼굴 열일....😫👍👍👍
think14260,@BTS_twt 멋지다 태형아 ^^
Nicol76604014,@BTS_twt 잘생긴 미스터 그래미💜😁
happypinna02,@BTS_LQVE_CR 딸기잼 벌써 발라묵어봤닼ㅋㅋ
Nailkozhong,@BTS_twt 걍조각아님?...
liliz1204,@BTS_twt 태형아 너가 신이다 💜💜💜💜
1zMvHsiCMxsn3nK,@BTS_twt 태형아…🥺💜💜💜💜💜💜💜💜
20130613_7_BTS,@ChoiYuna_0613 사랑해🖕 https://t.co/HJNsBnwONJ
teakoek,@BTS_twt 사랑보다도 더 사랑합니다🖤🖤🖤🖤🖤
myhopeJ0218,@7_bts_bora 모에요! 저만 그런 줄^^💜💜
gunijimini,@GyaMi_BTS 갸미님 페트병보다 작다니.. 오늘 또 한가지 알아가네요(아님) 기분좋은 표정ㅎㅎ😊👍 https://t.co/6PeChavmyq
tettemiau,아셉타스? 😽 @BTS_twt https://t.co/doqtgJvE7m
yesungniel,@BTS_twt 💜나도 사랑해요 방탕소년단 💜
RMs_Sea,@BTS_twt 정말 얼굴 미춌다
svntinyboys,@BTS_twt 워..섹시
TaeBae2017,@BTS_twt 싸랑해요 방탄소년단💜💜💜
itsheyaa,@BTS_twt vcut 언제나 고마워요 태형아😍😍
BTS_VIPS,맞아 태형아 또 세일미 됐어 축하해 https://t.co/kOxowcfUtv
UGHatsu7,@BTS_twt 오늘 저녁은 요리하지 않아도 될 것 같아
mrnlrce,@BTS_twt 여보! 😍💜
S_tar_jimin,@bts_sealike_13 으해해해햏헤헤헤헿ㅎㅎ헤헤헿
fxrxvxr0613,@BTS_twt 하 진짜 vcut 너무 최고야 8ㅁ8
BabyAngelKoo7,@BTS_twt 세상에서 가장 잘 생긴 남자! 🤩 사랑합니다 태형씨 💜
with__smile,@BTS_twt 사랑해요 김태형씨🔥💚💘
bts_chocotaetae,"진짜,,,김태형 얼굴 미친거아냐,,,?"
jimjim13jj,@BTS_twt AHHHHHHHH 태태 가만안도 🥺🙃🙃🙃☺️💜💜💜💜💜💜💜
VDTTYZg7LE0OHRY,@BTS_twt 💜사랑해요방탄💜
BTS_ARMY_magic,헐 크리스마스 딱 한달 남았구나..?
dh__000,@ing_ang_bts_twt 나 말고 너 귀엽다고요
kokoart1230,"@BTS_twt 많이 사진 보여 주어서 고맙다📸✨
어느 것도 멋지다입니다💜 https://t.co/fQLkez99LN"
BTS_7s_Mylife,"이건 죰 심가카개 쟐셍겻잕하,;;; https://t.co/1SEnSoNE2N"
