malrikim,경이로운소문 재밌당^^  철인왕후 이것도 기대된당 https://t.co/6Up2I9o3IT
bamnut_,경이로운 소문 https://t.co/WAxgiDVkyT
SUGALOVE_07,@PKTH_1230 경이로운소문 재밋어요???
Clean_sedong,"관심 있는 배우분들이나 소재가 아니면 드라마를 잘 챙겨보지 않는데, 경이로운 소문은 정말 하나하나 꼬박꼬박 챙겨보아야겠다고 결심했을 정도로 깊이 빠져버렸습니다..각 캐릭터들의 돋보이는 매력과 감칠난 대본, 감탄이 절로 나오는 액션과 연출이 보는 내내 주의를 확 사로잡은 것 같네요:) https://t.co/gbZRg7ar0b"
kim_s_u,경이로운 소문 (경소문?) 드라마 소재가 재밌어보여서 2화 보는 중인데.. 사고 이후 걷는 데에 장애가 있는 남자 고등학생이 특별한 사건을 계기로 다리가 '고쳐지'는 게 너무 . 너무 구림 아직도 장애를 고쳐야하고 극복해야하는.. 소재로 보는거임.. ?
sisi_allmyluv,@hoshirang2 ㅋㅋㅋㅋ경이로운소문 재밌대^^
hjduck52,"경이로운 소문, 이거 재밌네~
김세정이 이렇게 이뻤나, 게다가 연기도 아주 잘해^^ https://t.co/YnDUPy0mm5"
nctrlu,내가.. 경이로운 소문을 봐도 될런지
evolur_ah,"| 경이로운 소문
| 조병규

#우리가_사랑한_소문 https://t.co/glZK37OGFJ"
happy_smile0828,넷플릭스왜 경이로운 소문 아직도 안 올라오는거지...ㅠㅠ빨리 보고싶은데...해외는 없는건가
dream_swing,채널 돌리다가 경이로운 소문 봤는데 생각보다 재밌었음
nebariilse,@Circle807562824 아아니진짜 글씨로 칭찬받을 줄은 몰라서 황송하고 경이롭네요 참 경이로운 소문 재밌던데 보셨나요?아니이게 아닌데 어어 감사합니다 하한 번 더 글씨체 예쁘게 가다듬어 보게ㅛ습니다감사합니다
markleft9900,경이로운소문 조병규 ㅈㄴ 잘생김ㅜㅜ
partofbzlife,세정이가 몸키운게 경이로운 소문이란 드라마때문이엇구나. 보는 중인데 웃지않고 힘쎈 세정이 너무 좋다 ㄴㅋㅋㅋㅋ
selfless_94,경이로운 소문... 다음화 또 보고 싶다.. 결제 할 수 있는데 까지 다 결제했는데....
h_philby5,경이로운 소문... 또 다리에 장애가 있던 주인공이 뜻밖의 일을 통해 장애가 갑자기 사라지고 달리며 히어로가 되는 스토리였냐... 나 혼자 진심이엇구나
b2lovable,경이로운소문 보면서 머거야지!
Unknown_Cider,아아니 오씨엔 경이로운 소문 다들 보십쇼..!! 웹툰원작 드라마라던디...넘..재미써..방금 3화까지 나온거 다 봤다는...!!!!
flucbluc,"경이로운 소문..

모야.. 왜 혼자
""우웅.. 난 아무고또 모루눈댕..."" 이런 톤으로 연기하시죠"
pkkyu11,"경이로운 소문 1화봄
오씨엔이라서 유치한건지 웹툰 자체도 좀 그런건지는 모르겟는데 걍 ,,,,, 그럭저럭 볼만함,, https://t.co/Vgv4Dzhazn"
____productio,"경이로운 소문 #조병규
https://t.co/vV5SRLNf0x https://t.co/Uj4pIU5vjr"
____productio,"경이로운 소문 #조병규
https://t.co/UHfDDhN5Bl https://t.co/botPBKRUyF"
FOYHappiness,경이로운 소문 존잼
linxxfe_ae,경이로운소문에나오는 소문이친구 여자애 도란닮음
___Dazzled,경이로운 소문 재밌닼ㅋㅋㅋ
umm346645,경이로운 소문 겁나 재밋습니다🙃🤍 https://t.co/IUBbyegl9z
yeongbom401,"경이로운소문 1화 잘 모르는 상태여서 기대안하고 틀었는데
진짜 재밌다"
GEOTAE_V_1230,@Inshu___ 일단 담아놓은건 많은데 현재 보는건 별그대 경이로운 소문 스타트업  멜로가 체질 보고 있고 치아문단적소미호랑 손더게 백낭 콜 퀸스갬빗 킹덤 도 볼라고
Soul_in_Seoul,경이로운 소문 에피소드 2 다시 보는 중인데 멸치 국물 베이스 잔치 국수 먹고 싶다! 볶은 김치 올려서.
ftgusrud,경이로운소문 넷플릭스에 있더라? 넷플 아이디 덩생한테 뺏겨서 몰랐음...
rubycoco6,"사실 제가 지금 보고 있는 새로운 드라마가 있어요🤭 제목은 '경이로운 소문'입니다.. 꽤 멋져요! 음 이 드라마는 초자연적인 힘에 관한 이야기이다👀 저는 그런 드라마가 좋아요😎 

@treasuremembers https://t.co/G62q1M7Tsv"
DDfile_,‘경이로운 소문’ 온전히 김세정으로 사랑받기란[스타와치] https://t.co/O6xa64ozK4
Sasumitalk,경이로운 소문의 조ㅂ규 친구 주연이 나 고딩때랑 생긴거 똑같음..ㅋㅋㅋㅋㅋ
3101N8EMrKVm22Q,"조병규 경이로운소문 너무재밌네
역시 연기잘해 은빈병규스토브에서 젤 젊고 초롱초롱 연기잘하는배우들인데 그놈의승수히어로 옆에서 동규동규임동규보다 캐릭서사안살려주는 대본 중에 연기로 애쓰고 빛나던 배우들 복받아 더 빛나라진짜
은빈도 멋지고 확실한 캐릭가자"
YURI_1022_,"@WizOnce07 경이로운 소문 진짜 짱 재미써요🎶
완전 강추합니다👍🏻"
WizOnce07,@YURI_1022_ 그럼요! 지금은 끝나고 경이로운 소문? 그거 하는데 그것도 시간 나면 보려구요ㅎㅎ
PKTH_1230,"@SUGALOVE_07 구미호뎐,호텔델루나,경이로운소문 이요!"
_ToToror,"경소문 보게 만든 한 문장 . . .

'경이로운 소문' 염혜란 ＂분량 탐나 출연, 이렇게 많이 나온 적 없었다＂
https://t.co/BfNpP3BJzX https://t.co/FZd7zzZl1w"
pkkyu11,경이로운 소문 재밋아보임
Jak_yp,경이로운 소문 드라마 반응 제법 괜찮나?
moment92511,"경이로운소문 1회 
#조병규 뿅뿅뿅🐣 
https://t.co/WywYbXgLmt https://t.co/TB6j94zofT"
woommasha,넷플 경이로운 소문인가몬가 기대해본다 https://t.co/Y71Ls0uUdD
