usefulmindset,"@BTS_twt 안녕🐨🌿 이곳에서 바라보는 한국은 광풍 그 자체다. 내 친구들도 최근에는 좋은 조건으로 스타트업으로 가기로 했다든지 주식으로 얼마의 수익을 봤다든지 하는, 연말이어서 그런가, 성적표 공개에 열을 올린다. 1년을 되돌아봐야 하는 시기여서일까. 유독 최근 이런 담론이 많은 것 같아. 전화로만"
sssseonho,@ONLY_SEON 스타트업을 무사히 보는게 목표....☆
atto0909,와 해피포인트 ㅋㅋㅋㅋㅋ색까지 ㅋㅋㅋㅋㅋ스타트업이 되고 싶은거야??
mushman1970,"국내 진출 해외 스타트업 경진대회인 #KStartupGrandChallenge'에서 #빅뱅엔젤스'가 보육을 맡은 #OmmoTechnologies'가 우승, #RegulaxsisSAS'는 4위 등 Top30에 6팀을 배출. https://t.co/x5QVBo5q8X"
mushman1970,"오늘은 수능 시험이 있는 날이지만 #와우데일리'는 계속됩니다. 세일즈포스가 슬랙을 인수한 소식과 국내 스타트업 투자 소식, 그리고 주목해야 할 소식을 음성뉴스로 정리했습니다. 수능 때문에 출근이 늦은 분은 들어보시기 바랍니다. 
https://t.co/iSDrBbXBgA"
forfour_04,요즘 동년배들 자소서 쓸 때마다 듣는 [가호 X KAVE - Running] 🔥할 수 있다 우리는 청춘이니까!!🔥ㅣ스타트업 OST... https://t.co/f7g8bS49Ws via @YouTube &lt;&lt; น้องน่ารักมากกกกกก
tikeilee,"교수님들도 이런 식의 강의는  안 한다. 

강의라는 본질 자체를 모르고 결국 본인은 잘 나가는 스타트업의 젊은 임원이다를 자랑하고 끝난 것 같다. ㅠㅠ 왕ㅈㅅㅌㅇ"
temptationsuz,‘스타트업’ 남주혁 “도산의 서사는 과거 아닌 만들어가는 현재” (출처 : 뉴스엔 | 네이버 TV연예) https://t.co/7ONsTm2Zo7 https://t.co/xmNT8Hkzif
unseenball,내 티비엔유튜브 채널 댓글목록 보니까 초반에 지평도산 너무 재밌어요 너무 좋아요 하다가 점점 도산달미 최고 하고 있음 나 노답홈충인데 이렇게 만든 스타트업 대단하다
szriszy,"[MV] #수지 - My Dear Love [스타트업 OST Part.14 (START-UP OST Part.14)]

🎶 https://t.co/WaLrSrpfoA

#Suzy #SuzyStartUpOST"
kws3128pdm,[ #Tistory ] 스타트업 강한나 나무잡고 퉤퉤퉤 https://t.co/QrIMIU49rl
ehddn1,"가상 피트니스 플랫폼 운영 스타트업 'Salut'가 씨드로 125만 달러(약 13.7억원) 투자유치. 피트니스 트레이너가 버추얼 클래스를 개최할 수 있도록 해주는 앱 서비스로, 현재 55명의 트레이너가 등록 중. 코로나가 가져다준 비즈니스 기회임은 명확한데 차별화가 궁금.. https://t.co/SMIhDCcer7"
sweet_blanket_,"@puzziiiiiss 낭만을 깨서 미안한데, 불가사리는 유해종이라 나라에서 돈주고 매입해서 폐기하고 있어.. 그래서 어느 스타트업 기업에서 불가사리로 제설제 만들어서 기사 나오기도 했고."
7painkiller,"(ENG CC) 출구없는 매력남 김선호 댓글인터뷰 공개ㅣ김선호, 스타트업, 한지평, 예뽀, 스타트업 한지평 https://t.co/mv4sh1kNiB via @YouTube ⚽️"
c_am98,이쯤되면 바이스토리 스타트업 메이킹 관계자들 수능생이란거 팩트 아니야? 왜 안 올려줘
G_aN___ZE,진짜 존나 웃기다 스타트업 나랑 친언니랑 존나 과몰입해서 우리가 여주엿다면? 이 생각해봤는데 일단 맨날 편지 타령할 때 엄마한테 욕 쳐 듣고 편지 주인 누군지 알게 됐을 거라고 하면서 상황극 ㅈㄴ 찍고 있음
baejoinz,[MV] 수지 - My Dear Love [스타트업 OST Part.14 (START-UP OST Part.14)] https://t.co/LaaPcWFF4z via @YouTube
_rainbowdimple,"선모닝☀️
#김선호 #스타트업 #한지평 https://t.co/Hf3OrCvUr3"
unseenball,똑똑하게 생각한다니까 진짜..필모 괜히 괜찮은게 아님(스타트업빼고) https://t.co/IukeBpcnqo
bow0w,이번주 걍 유난히 시간이 늦게 감 이게 다 스타트업이 메이킹 안 줘서 그런 듯🥺💧
