7O4zgUOv5TBJLaM,"서문탁, 김희재와 HIP한 매력…‘사랑의 콜센타’ 출연 인증샷 공개 [M+★SNS] (출처 : MBN | 네이버 TV연예) https://t.co/qmOWbn0QDF"
Eee_Aan2,"7. 빈센트
진짜 내가 숨쉬기 힘들정도로 운 두번째 극...진짜 이날 레전이어서 그런지 진짜 너무 슬퍼서 빈센트 통로로 나갈 때 진짜 허공만 보고 계속 울었다...커튼콜때도 계속 눈물나서 내가 왜 이런지 몰라...했는데..."
ljmm840,"영화 콜의 전종서는 소름끼치게 멋있다. 추적자의 젊은 하정우를 처음 마주했을때처럼 눈빛 하나로 퍼뜩하고 무서워지는 느낌. 오랜만에 멋있는 배우를 만나서, 진짜 그것만으로도 이 영화는 볼만하다."
Banana_N_,커튼콜이 내 기억 다 휘발시켜버려서
EjrdmfTjfdjfk58,"@Chya_in_Teacup 아이고
ㅇㅋ 콜
나랑 고모조카 아니면 삼촌조카 무튼 가족관해서거기가줘"
My_Highlight_YS,양도글 찾다보면 정말 별 거지같은 글이 다 나와서 짜증남 좀만 더 견디면 되긴 하는데 기분이 졸라 나쁘긴 함 근데 이렇게까지 티켓이 씨가 마를 정도인데 컷콜은 왜 안줄까
PXt3nkd5ytTwP3b,"#이찬원#이찬원유튜브#사랑의콜센타이찬원 #뽕숭아학당이찬원 #이찬원야구객원해설 #이찬원양준혁#CHAN's#kt...https://t.co/p8mqvV2S8G
by 멜론아지톡 https://t.co/N54Bh4SKN7"
PXt3nkd5ytTwP3b,"#이찬원#이찬원유튜브#사랑의콜센타이찬원 #뽕숭아학당이찬원 #이찬원야구객원해설 #이찬원양준혁#CHAN's#kt...https://t.co/NiLHUUcPay
by 멜론아지톡 https://t.co/NsoTioZl1U"
GardSeowon_Code,@NAMJIHUAKGAE ㅋㅋㅋㅋㅋㅋㅋㅋ 서원콜은 뭔가요 ㅋㅋㅋ 진짜 ㅋㅋㅋ
PXt3nkd5ytTwP3b,"#이찬원#이찬원유튜브#사랑의콜센타이찬원 #뽕숭아학당이찬원 #이찬원야구객원해설 #이찬원양준혁#CHAN's#kt...https://t.co/NoS5Pa4N8N
by 멜론아지톡 https://t.co/5ViRXXiYHh"
82tZtO0Ebrr7cQS,"‘사랑의 콜센타’ 이지훈, 김희재에 아쉬운 패…“집에서 지켜볼 것” 웃음 https://t.co/QaTU8BSRwk"
NAMJIHUAKGAE,🐰가드님애 에스코트를 받으면... 부끄렁 ㅓ집니댜. (또다시 스멀스멀 기어올라오는 서원콜 https://t.co/XbnyOxMLFW
hong_sangrok_,"1. 영웅..
내 첫 뮤지컬.. 마지막에 미친듯이 펑펑 울고 커튼콜때도 울고 끝나거 나왔을때도 울었대요"
