9960002,넥플릭스에서 엠마 2020보셨나요? 체스 천재 퀸스갬빗을 주인공의 매력과 영국19세기의 아름다운 의상과 인테리어를 좋아한다면 저격일 영화.예쁘고 영리하고 부유한(세상 다 가진) 엠마의 이야기.소리를 끄고 눈으로만 봐도 너무 황홀한 엠파이어드레스와 파스텔토닝의 배경들. https://t.co/jKtBw8xPMp
C_Silatipa_M,퀸스갬빗 호평 많은데 나 체스에도 중독에도 관심없어서 손이 안 가
KOYA_135,뒤늦게 퀸스갬빗보고 후다닥...너무 재밌다🥺 https://t.co/QG3QxZsYbh
WEvmMSy5UkO4Ec2,"&lt;퀸스갬빗&gt;바쁜 와중에도 이 미니 시리즈는 챙겨 봤지.주인공의 성공,좌절,극복을 통한 성장의 구성은 흔하지만 소재가 체스라는 흥미로움과 체스를 전혀 몰라도 극에 빠져 드는 몰입감은 높았다.사나흘 드라마의 잔상들이 떠나지 않을 정도로 즐겁게 감상했다.안야 테일러 조이라는 배우 매력적이다, https://t.co/pYvHAzcE9l"
asamanunno,아 퀸스갬빗도 보다말앗네 근데 중반부터 살짝 늘어졋어 이전 과 학교 선배닮은애랑 쥔공이 사겨가지고 (ㅋㅋㅋ 성격도 비슷해서 짱남 ㅋ
ehdwhd,퀸스갬빗 시즌 2 내놔(아직 시즌 1보고있는사람 https://t.co/huo2M8S0py
kurumiging,인강패스 22일까지니까 그때까지못들은거후다닥다몰아듣고.. 그이후에 넷플왓챠좀봐야지 새연 비숲2남은거.. 치아문남은거 퀸스갬빗 엠마 일케는일단꼭볼거임
hope_eolcheon,퀸스갬빗 재밌어
chaameow,퀸스갬빗 정주행 완료
Hukk_3,@2_9e0 퀸스갬빗 꼬옥 보기...
kk2mings,퀸스갬빗 다봐버렸서.. 타운스 조아 타운스
rovv2_,"Zior park의 추천 영화/드라마..

Only lovers left alive
퀸스갬빗
키딩
판타스틱 미스터 폭스 (이거인생영화라함)"
jsrrj,@TJklq8QTc0hNhQ9 퀸스갬빗 재밋사
kakashisright,퀸스갬빗 다 봤고 재밋었다~~
dailydonggun,기숙학교나 마법학교 같은 폐쇄된 커뮤니티 이야기들 너무 좋은 것 같음 친구는 퀸스갬빗 보육원 장면 좀 지루했다고 했는데 난 되게 좋았던
ssal_cha,허으...요즘 퀸스갬빗에 빠져살고있다ㅠㅠ 너무 재밌어 ～!!!
youngyang__o0,퀸스갬빗 보면서 좀 부러웠던거 하나 .. 나두 집에서 민소매에 빤스만 입고 돌아다니고 싶다 .
dtlrQkdb,천재 체스레이디라는 말이넘웃껴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 ㅠ 퀸스갬빗 - 천재 체스레이디가 나옴
foamday,@oohmuse 퀸스갬빗 끝내구 엄브아카 본 거였어요ㅎㅎ 퀸스갬빗 진짜 재밌죠ㅠㅠ.. 엄브아카는 소재가 신선해서 꽤 재밌게 본 것 같아요 중간중간 전개에서 미운 캐릭터들이 있었지만 재밌어요!
oohmuse,@foamday 퀸스갬빗 ! !! 재밌어요 엄브아카 재밌나요? 🤓
_yumyomi,"@ohmypjs 퀸스갬빗
기묘한이야기
아이엠낫오케이
빌어먹을세상따위"
berone304,하...시실리안 오프닝.... . . .  ... ㅠㅠ ㅠㅠ ㅠㅠㅠ ㅠㅠㅠㅠㅠㅠㅠ 처음과 끝을 시실리안으로 끝낸다는게 난 너무 좋아...................정말잘만들었음 퀸스갬빗...진짜잘만든 드라마........재밌었다.. 시간을 아주 죽여버린 영화 정말 죽여준다...
Gwon_Seon_,퀸스갬빗 시즌2 내용 어떻게 죌지 궁금하다
berone304,"퀸스갬빗은.
.....
..
.정말최고의 드라마다.........."
kong_a_a,얘들아 퀸스갬빗 재밌니? 뭔 내용인지 아는새럼??
markluvvvv95,@to_N_city 퀸스갬빗이요!
_baejy,퀸스갬빗 진짜 너어어어무 재밋다 넷플 계속 결제하길 잘햇다 ..
wokhu0722,와 퀸스갬빗 맞나 이름 개어렵네 아무튼 졸라 재밌어 와 와!
